device_id,event_time,value
device_0,2026-04-22T06:37:55.275407,58.35
device_0,2026-04-22T06:36:55.275407,58.15
device_0,2026-04-22T06:35:55.275407,56.07
device_0,2026-04-22T06:34:55.275407,55.55
device_0,2026-04-22T06:33:55.275407,57.01
device_0,2026-04-22T06:32:55.275407,56.5
device_0,2026-04-22T06:31:55.275407,55.19
device_0,2026-04-22T06:30:55.275407,54.39
device_0,2026-04-22T06:29:55.275407,51.36
device_0,2026-04-22T06:28:55.275407,58.1
device_0,2026-04-22T06:27:55.275407,49.83
device_0,2026-04-22T06:26:55.275407,50.83
device_0,2026-04-22T06:25:55.275407,52.33
device_0,2026-04-22T06:24:55.275407,54.43
device_0,2026-04-22T06:23:55.275407,59.05
device_0,2026-04-22T06:22:55.275407,54.03
device_0,2026-04-22T06:21:55.275407,58.82
device_0,2026-04-22T06:20:55.275407,58.52
device_0,2026-04-22T06:19:55.275407,58.75
device_0,2026-04-22T06:18:55.275407,53.14
device_0,2026-04-22T06:17:55.275407,63.25
device_0,2026-04-22T06:16:55.275407,47.07
device_0,2026-04-22T06:15:55.275407,54.68
device_0,2026-04-22T06:14:55.275407,50.95
device_0,2026-04-22T06:13:55.275407,52.48
device_0,2026-04-22T06:12:55.275407,56.86
device_0,2026-04-22T06:11:55.275407,46.41
device_0,2026-04-22T06:10:55.275407,58.55
device_0,2026-04-22T06:09:55.275407,59.95
device_0,2026-04-22T06:08:55.275407,48.28
device_0,2026-04-22T06:07:55.275407,47.83
device_0,2026-04-22T06:06:55.275407,57.51
device_0,2026-04-22T06:05:55.275407,54.9
device_0,2026-04-22T06:04:55.275407,49.71
device_0,2026-04-22T06:03:55.275407,48.01
device_0,2026-04-22T06:02:55.275407,53.63
device_0,2026-04-22T06:01:55.275407,45.55
device_0,2026-04-22T06:00:55.275407,57.22
device_0,2026-04-22T05:59:55.275407,54.87
device_0,2026-04-22T05:58:55.275407,55.85
device_0,2026-04-22T05:57:55.275407,53.59
device_0,2026-04-22T05:56:55.275407,51.35
device_0,2026-04-22T05:55:55.275407,54.04
device_0,2026-04-22T05:54:55.275407,60.41
device_0,2026-04-22T05:53:55.275407,54.42
device_0,2026-04-22T05:52:55.275407,58.67
device_0,2026-04-22T05:51:55.275407,61.84
device_0,2026-04-22T05:50:55.275407,55.47
device_0,2026-04-22T05:49:55.275407,59.23
device_0,2026-04-22T05:48:55.275407,59.36
device_1,2026-04-22T06:37:55.275407,52.31
device_1,2026-04-22T06:36:55.275407,61.22
device_1,2026-04-22T06:35:55.275407,47.27
device_1,2026-04-22T06:34:55.275407,61.02
device_1,2026-04-22T06:33:55.275407,53.13
device_1,2026-04-22T06:32:55.275407,55.24
device_1,2026-04-22T06:31:55.275407,49.1
device_1,2026-04-22T06:30:55.275407,57.08
device_1,2026-04-22T06:29:55.275407,55.59
device_1,2026-04-22T06:28:55.275407,53.08
device_1,2026-04-22T06:27:55.275407,51.09
device_1,2026-04-22T06:26:55.275407,58.12
device_1,2026-04-22T06:25:55.275407,54.1
device_1,2026-04-22T06:24:55.275407,59.87
device_1,2026-04-22T06:23:55.275407,48.06
device_1,2026-04-22T06:22:55.275407,57.16
device_1,2026-04-22T06:21:55.275407,56.12
device_1,2026-04-22T06:20:55.275407,59.8
device_1,2026-04-22T06:19:55.275407,61.18
device_1,2026-04-22T06:18:55.275407,53.1
device_1,2026-04-22T06:17:55.275407,51.24
device_1,2026-04-22T06:16:55.275407,55.65
device_1,2026-04-22T06:15:55.275407,55.7
device_1,2026-04-22T06:14:55.275407,56.41
device_1,2026-04-22T06:13:55.275407,58.74
device_1,2026-04-22T06:12:55.275407,50.47
device_1,2026-04-22T06:11:55.275407,52.38
device_1,2026-04-22T06:10:55.275407,53.23
device_1,2026-04-22T06:09:55.275407,53.36
device_1,2026-04-22T06:08:55.275407,57.26
device_1,2026-04-22T06:07:55.275407,56.91
device_1,2026-04-22T06:06:55.275407,51.9
device_1,2026-04-22T06:05:55.275407,48.23
device_1,2026-04-22T06:04:55.275407,51.04
device_1,2026-04-22T06:03:55.275407,57.62
device_1,2026-04-22T06:02:55.275407,55.2
device_1,2026-04-22T06:01:55.275407,63.48
device_1,2026-04-22T06:00:55.275407,54.87
device_1,2026-04-22T05:59:55.275407,58.56
device_1,2026-04-22T05:58:55.275407,53.01
device_1,2026-04-22T05:57:55.275407,55.4
device_1,2026-04-22T05:56:55.275407,59.95
device_1,2026-04-22T05:55:55.275407,53.3
device_1,2026-04-22T05:54:55.275407,55.9
device_1,2026-04-22T05:53:55.275407,53.76
device_1,2026-04-22T05:52:55.275407,60.52
device_1,2026-04-22T05:51:55.275407,49.74
device_1,2026-04-22T05:50:55.275407,62.77
device_1,2026-04-22T05:49:55.275407,55.46
device_1,2026-04-22T05:48:55.275407,56.37
device_2,2026-04-22T06:37:55.275407,55.18
device_2,2026-04-22T06:36:55.275407,52.61
device_2,2026-04-22T06:35:55.275407,49.33
device_2,2026-04-22T06:34:55.275407,53.41
device_2,2026-04-22T06:33:55.275407,58.64
device_2,2026-04-22T06:32:55.275407,51.82
device_2,2026-04-22T06:31:55.275407,46.47
device_2,2026-04-22T06:30:55.275407,51.72
device_2,2026-04-22T06:29:55.275407,52.05
device_2,2026-04-22T06:28:55.275407,47.95
device_2,2026-04-22T06:27:55.275407,59.75
device_2,2026-04-22T06:26:55.275407,52.71
device_2,2026-04-22T06:25:55.275407,51.69
device_2,2026-04-22T06:24:55.275407,52.77
device_2,2026-04-22T06:23:55.275407,46.93
device_2,2026-04-22T06:22:55.275407,49.0
device_2,2026-04-22T06:21:55.275407,61.11
device_2,2026-04-22T06:20:55.275407,55.97
device_2,2026-04-22T06:19:55.275407,62.91
device_2,2026-04-22T06:18:55.275407,55.43
device_2,2026-04-22T06:17:55.275407,56.44
device_2,2026-04-22T06:16:55.275407,59.46
device_2,2026-04-22T06:15:55.275407,57.51
device_2,2026-04-22T06:14:55.275407,62.32
device_2,2026-04-22T06:13:55.275407,53.26
device_2,2026-04-22T06:12:55.275407,49.69
device_2,2026-04-22T06:11:55.275407,49.21
device_2,2026-04-22T06:10:55.275407,51.06
device_2,2026-04-22T06:09:55.275407,56.2
device_2,2026-04-22T06:08:55.275407,54.93
device_2,2026-04-22T06:07:55.275407,56.74
device_2,2026-04-22T06:06:55.275407,57.21
device_2,2026-04-22T06:05:55.275407,54.87
device_2,2026-04-22T06:04:55.275407,52.45
device_2,2026-04-22T06:03:55.275407,59.27
device_2,2026-04-22T06:02:55.275407,55.82
device_2,2026-04-22T06:01:55.275407,58.11
device_2,2026-04-22T06:00:55.275407,59.7
device_2,2026-04-22T05:59:55.275407,49.6
device_2,2026-04-22T05:58:55.275407,48.25
device_2,2026-04-22T05:57:55.275407,55.09
device_2,2026-04-22T05:56:55.275407,56.31
device_2,2026-04-22T05:55:55.275407,51.56
device_2,2026-04-22T05:54:55.275407,56.96
device_2,2026-04-22T05:53:55.275407,55.67
device_2,2026-04-22T05:52:55.275407,57.22
device_2,2026-04-22T05:51:55.275407,61.53
device_2,2026-04-22T05:50:55.275407,55.71
device_2,2026-04-22T05:49:55.275407,57.82
device_2,2026-04-22T05:48:55.275407,58.04
device_3,2026-04-22T06:37:55.275407,57.27
device_3,2026-04-22T06:36:55.275407,57.2
device_3,2026-04-22T06:35:55.275407,60.74
device_3,2026-04-22T06:34:55.275407,60.57
device_3,2026-04-22T06:33:55.275407,58.91
device_3,2026-04-22T06:32:55.275407,59.1
device_3,2026-04-22T06:31:55.275407,60.83
device_3,2026-04-22T06:30:55.275407,59.48
device_3,2026-04-22T06:29:55.275407,54.95
device_3,2026-04-22T06:28:55.275407,56.27
device_3,2026-04-22T06:27:55.275407,50.57
device_3,2026-04-22T06:26:55.275407,54.12
device_3,2026-04-22T06:25:55.275407,55.81
device_3,2026-04-22T06:24:55.275407,59.64
device_3,2026-04-22T06:23:55.275407,59.73
device_3,2026-04-22T06:22:55.275407,51.75
device_3,2026-04-22T06:21:55.275407,53.12
device_3,2026-04-22T06:20:55.275407,53.63
device_3,2026-04-22T06:19:55.275407,54.77
device_3,2026-04-22T06:18:55.275407,60.37
device_3,2026-04-22T06:17:55.275407,49.13
device_3,2026-04-22T06:16:55.275407,58.19
device_3,2026-04-22T06:15:55.275407,56.46
device_3,2026-04-22T06:14:55.275407,54.47
device_3,2026-04-22T06:13:55.275407,54.28
device_3,2026-04-22T06:12:55.275407,51.86
device_3,2026-04-22T06:11:55.275407,58.97
device_3,2026-04-22T06:10:55.275407,60.03
device_3,2026-04-22T06:09:55.275407,59.48
device_3,2026-04-22T06:08:55.275407,49.08
device_3,2026-04-22T06:07:55.275407,60.63
device_3,2026-04-22T06:06:55.275407,56.01
device_3,2026-04-22T06:05:55.275407,55.26
device_3,2026-04-22T06:04:55.275407,50.52
device_3,2026-04-22T06:03:55.275407,52.86
device_3,2026-04-22T06:02:55.275407,49.19
device_3,2026-04-22T06:01:55.275407,56.86
device_3,2026-04-22T06:00:55.275407,59.95
device_3,2026-04-22T05:59:55.275407,54.34
device_3,2026-04-22T05:58:55.275407,57.14
device_3,2026-04-22T05:57:55.275407,47.61
device_3,2026-04-22T05:56:55.275407,61.67
device_3,2026-04-22T05:55:55.275407,55.08
device_3,2026-04-22T05:54:55.275407,54.76
device_3,2026-04-22T05:53:55.275407,49.41
device_3,2026-04-22T05:52:55.275407,52.87
device_3,2026-04-22T05:51:55.275407,55.71
device_3,2026-04-22T05:50:55.275407,55.56
device_3,2026-04-22T05:49:55.275407,62.68
device_3,2026-04-22T05:48:55.275407,47.66
device_4,2026-04-22T06:37:55.275407,51.05
device_4,2026-04-22T06:36:55.275407,52.65
device_4,2026-04-22T06:35:55.275407,48.33
device_4,2026-04-22T06:34:55.275407,48.26
device_4,2026-04-22T06:33:55.275407,60.25
device_4,2026-04-22T06:32:55.275407,57.06
device_4,2026-04-22T06:31:55.275407,49.08
device_4,2026-04-22T06:30:55.275407,58.47
device_4,2026-04-22T06:29:55.275407,54.97
device_4,2026-04-22T06:28:55.275407,55.09
device_4,2026-04-22T06:27:55.275407,51.07
device_4,2026-04-22T06:26:55.275407,58.34
device_4,2026-04-22T06:25:55.275407,49.69
device_4,2026-04-22T06:24:55.275407,55.3
device_4,2026-04-22T06:23:55.275407,53.59
device_4,2026-04-22T06:22:55.275407,56.43
device_4,2026-04-22T06:21:55.275407,60.1
device_4,2026-04-22T06:20:55.275407,52.26
device_4,2026-04-22T06:19:55.275407,50.8
device_4,2026-04-22T06:18:55.275407,53.41
device_4,2026-04-22T06:17:55.275407,51.2
device_4,2026-04-22T06:16:55.275407,50.34
device_4,2026-04-22T06:15:55.275407,54.07
device_4,2026-04-22T06:14:55.275407,52.76
device_4,2026-04-22T06:13:55.275407,50.33
device_4,2026-04-22T06:12:55.275407,54.64
device_4,2026-04-22T06:11:55.275407,58.93
device_4,2026-04-22T06:10:55.275407,47.25
device_4,2026-04-22T06:09:55.275407,56.98
device_4,2026-04-22T06:08:55.275407,57.79
device_4,2026-04-22T06:07:55.275407,52.76
device_4,2026-04-22T06:06:55.275407,57.46
device_4,2026-04-22T06:05:55.275407,58.98
device_4,2026-04-22T06:04:55.275407,55.02
device_4,2026-04-22T06:03:55.275407,59.94
device_4,2026-04-22T06:02:55.275407,56.42
device_4,2026-04-22T06:01:55.275407,50.19
device_4,2026-04-22T06:00:55.275407,56.45
device_4,2026-04-22T05:59:55.275407,48.98
device_4,2026-04-22T05:58:55.275407,52.33
device_4,2026-04-22T05:57:55.275407,55.95
device_4,2026-04-22T05:56:55.275407,50.99
device_4,2026-04-22T05:55:55.275407,50.17
device_4,2026-04-22T05:54:55.275407,55.68
device_4,2026-04-22T05:53:55.275407,56.97
device_4,2026-04-22T05:52:55.275407,53.79
device_4,2026-04-22T05:51:55.275407,47.35
device_4,2026-04-22T05:50:55.275407,54.61
device_4,2026-04-22T05:49:55.275407,55.11
device_4,2026-04-22T05:48:55.275407,55.6
device_5,2026-04-22T06:37:55.275407,50.64
device_5,2026-04-22T06:36:55.275407,56.73
device_5,2026-04-22T06:35:55.275407,60.48
device_5,2026-04-22T06:34:55.275407,51.81
device_5,2026-04-22T06:33:55.275407,49.09
device_5,2026-04-22T06:32:55.275407,56.98
device_5,2026-04-22T06:31:55.275407,58.91
device_5,2026-04-22T06:30:55.275407,56.92
device_5,2026-04-22T06:29:55.275407,59.16
device_5,2026-04-22T06:28:55.275407,59.08
device_5,2026-04-22T06:27:55.275407,58.32
